iter	RMSE
1000	87500.35454
1001	87490.02195
1002	87484.84322
1003	87478.21328
1004	87469.10798
1005	87457.66254
1006	87452.64296
1007	87441.42656
1008	87430.71168
1009	87425.48488
1010	87412.29186
1011	87403.18342
1012	87396.32346
1013	87388.27547
1014	87384.18111
1015	87374.7296
1016	87369.5002
1017	87357.05301
1018	87348.57733
1019	87340.4564
1020	87338.25192
1021	87329.69217
1022	87321.22238
1023	87304.44062
1024	87298.89377
1025	87291.45836
1026	87288.58797
1027	87283.742
1028	87275.83947
1029	87265.98244
1030	87253.90654
1031	87247.16641
1032	87237.63825
1033	87230.68918
1034	87224.02144
1035	87212.10643
1036	87203.98007
1037	87196.91034
1038	87193.96316
1039	87184.69478
1040	87177.67113
1041	87169.52943
1042	87155.56052
1043	87150.91788
1044	87141.01901
1045	87130.56494
1046	87126.73954
1047	87118.03178
1048	87112.97431
1049	87108.11838
1050	87101.30304
1051	87090.39886
1052	87088.34925
1053	87085.09703
1054	87083.07993
1055	87071.265
1056	87060.30253
1057	87053.1809
1058	87047.25019
1059	87039.47434
1060	87027.86268
1061	87012.96811
1062	87000.88738
1063	86994.70947
1064	86992.10024
1065	86985.99029
1066	86978.23806
1067	86971.22296
1068	86961.05362
1069	86958.82021
1070	86948.38012
1071	86939.91488
1072	86937.5811
1073	86912.49817
1074	86900.30796
1075	86892.88909
1076	86885.41257
1077	86872.96461
1078	86856.79672
1079	86847.07337
1080	86840.02049
1081	86831.51069
1082	86822.67205
1083	86814.61757
1084	86809.48967
1085	86800.56931
1086	86795.12783
1087	86788.94731
1088	86773.82218
1089	86766.42492
1090	86757.06254
1091	86748.78396
1092	86736.88216
1093	86736.53702
1094	86723.79085
1095	86716.07551
1096	86706.35652
1097	86699.20437
1098	86686.46054
1099	86681.72312
1100	86673.30844
1101	86664.31963
1102	86653.13185
1103	86646.64319
1104	86634.64224
1105	86624.87405
1106	86624.36054
1107	86620.50865
1108	86613.95568
1109	86604.88494
1110	86598.425
1111	86591.48728
1112	86578.34932
1113	86567.69764
1114	86554.20845
1115	86547.76064
1116	86537.6886
1117	86530.44092
1118	86526.20489
1119	86518.26422
1120	86517.68541
1121	86503.46328
1122	86494.57254
1123	86491.20051
1124	86481.83413
1125	86477.03386
1126	86470.08376
1127	86462.88928
1128	86459.07515
1129	86450.90107
1130	86445.78641
1131	86442.439
1132	86432.39356
1133	86420.67611
1134	86415.00332
1135	86410.86538
1136	86405.46974
1137	86397.79152
1138	86396.04596
1139	86386.81184
1140	86384.41504
1141	86378.2924
1142	86376.52415
1143	86371.04697
1144	86365.88727
1145	86356.26795
1146	86348.32012
1147	86339.98713
1148	86322.39398
1149	86313.71896
1150	86305.35899
1151	86296.18526
1152	86290.57455
1153	86279.95053
1154	86273.61679
1155	86267.73456
1156	86263.78456
1157	86247.21241
1158	86242.25552
1159	86236.55851
1160	86227.21267
1161	86220.5722
1162	86215.13045
1163	86207.38105
1164	86199.16936
1165	86191.77926
1166	86185.9216
1167	86177.39006
1168	86170.8478
1169	86162.55515
1170	86160.27381
1171	86151.54691
1172	86150.89303
1173	86140.6217
1174	86129.57602
1175	86128.47886
1176	86120.88335
1177	86109.74719
1178	86104.98538
1179	86097.7449
1180	86091.13391
1181	86086.83003
1182	86070.6185
1183	86064.23426
1184	86056.18722
1185	86048.55561
1186	86042.46077
1187	86036.25325
1188	86026.8412
1189	86019.66881
1190	86016.18748
1191	86007.82035
1192	85999.80343
1193	85993.61482
1194	85984.34686
1195	85978.06255
1196	85975.5349
1197	85969.20562
1198	85966.81794
1199	85965.28228
1200	85962.93749
1201	85957.86567
1202	85950.2368
1203	85941.3961
1204	85931.08179
1205	85927.9039
1206	85923.09233
1207	85918.61218
1208	85909.73265
1209	85902.16348
1210	85894.55836
1211	85886.15598
1212	85885.25957
1213	85882.39873
1214	85871.23414
1215	85861.98943
1216	85857.50813
1217	85853.22077
1218	85848.64413
1219	85842.00174
1220	85826.87924
1221	85811.86427
1222	85802.39647
1223	85798.00482
1224	85792.31274
1225	85785.73603
1226	85774.14886
1227	85772.87669
1228	85767.68442
1229	85761.4826
1230	85758.59236
1231	85744.88732
1232	85734.22003
1233	85727.92659
1234	85719.60732
1235	85716.1284
1236	85711.1374
1237	85702.87331
1238	85700.88197
1239	85694.37287
1240	85683.66338
1241	85675.3098
1242	85660.87675
1243	85657.83709
1244	85643.49375
1245	85633.46871
1246	85626.89908
1247	85620.94866
1248	85618.53081
1249	85616.21479
1250	85610.22202
1251	85601.95322
1252	85591.40603
1253	85577.47664
1254	85575.48779
1255	85567.9065
1256	85560.13764
1257	85551.92385
1258	85548.60187
1259	85542.05558
1260	85537.55248
1261	85533.3007
1262	85520.88283
1263	85510.07428
1264	85502.10345
1265	85495.22679
1266	85488.26971
1267	85482.20158
1268	85480.7525
1269	85470.11884
1270	85460.90043
1271	85456.81187
1272	85449.4264
1273	85446.11508
1274	85438.90449
1275	85434.77838
1276	85427.02985
1277	85414.42379
1278	85411.70992
1279	85406.75262
1280	85402.07883
1281	85389.59717
1282	85388.07956
1283	85379.49032
1284	85365.02897
1285	85360.53096
1286	85351.10641
1287	85345.97688
1288	85342.59161
1289	85336.82777
1290	85335.01636
1291	85327.09016
1292	85322.2532
1293	85313.3747
1294	85298.85673
1295	85296.09555
1296	85286.99706
1297	85282.05921
1298	85277.13473
1299	85272.81146
1300	85269.80965
1301	85265.60115
1302	85262.97822
1303	85253.15706
1304	85247.82378
